time,open,high,low,close
20240102103000000,7.8839285100,7.9091167800,7.8083637000,7.8167597900
20240102113000000,7.8167597900,7.8167597900,7.7831754300,7.7831754300
20240102140000000,7.7915715200,7.7999676100,7.7495910700,7.7579871600
20240102150000000,7.7579871600,7.7747793400,7.7327988900,7.7327988900
20240103103000000,7.7160067100,7.7327988900,7.6992145300,7.7076106200
20240103113000000,7.7076106200,7.7244028000,7.6908184400,7.6992145300
20240103140000000,7.6992145300,7.7076106200,7.6824223500,7.6824223500
20240103150000000,7.6824223500,7.7411949800,7.6824223500,7.7244028000
20240104103000000,7.7160067100,7.7160067100,7.6488379900,7.6656301700
20240104113000000,7.6656301700,7.6656301700,7.6236497200,7.6320458100
20240104140000000,7.6404419000,7.6488379900,7.6236497200,7.6236497200
20240104150000000,7.6236497200,7.6740262600,7.6236497200,7.6488379900
20240105103000000,7.6404419000,7.8419480600,7.6236497200,7.8335519700
20240105113000000,7.8335519700,7.9259089600,7.8335519700,7.8587402400
20240105140000000,7.8671363300,7.8671363300,7.7915715200,7.8083637000
20240105150000000,7.8083637000,7.8251558800,7.7495910700,7.7831754300
20240108103000000,7.7495910700,7.7999676100,7.6572340800,7.6572340800
20240108113000000,7.6572340800,7.6992145300,7.6488379900,7.6992145300
20240108140000000,7.7076106200,7.7327988900,7.6824223500,7.6908184400
20240108150000000,7.6908184400,7.7244028000,7.6740262600,7.6824223500
20240109103000000,7.6908184400,7.6992145300,7.6320458100,7.6824223500
20240109113000000,7.6824223500,7.7076106200,7.6656301700,7.6992145300
20240109140000000,7.6908184400,7.7160067100,7.6488379900,7.6572340800
20240109150000000,7.6572340800,7.7076106200,7.6572340800,7.7076106200
20240110103000000,7.6908184400,7.7160067100,7.6404419000,7.6824223500
20240110113000000,7.6824223500,7.6992145300,7.6740262600,7.6740262600
20240110140000000,7.6824223500,7.6824223500,7.6488379900,7.6824223500
20240110150000000,7.6824223500,7.6824223500,7.6320458100,7.6320458100
20240111103000000,7.6236497200,7.6656301700,7.5816692700,7.6656301700
20240111113000000,7.6656301700,7.6824223500,7.6404419000,7.6824223500
20240111140000000,7.6824223500,7.7411949800,7.6740262600,7.7244028000
20240111150000000,7.7244028000,7.7244028000,7.6824223500,7.6992145300
20240112103000000,7.6656301700,7.7831754300,7.6488379900,7.7579871600
20240112113000000,7.7579871600,7.7663832500,7.7160067100,7.7244028000
20240112140000000,7.7244028000,7.7327988900,7.7076106200,7.7160067100
20240112150000000,7.7160067100,7.7327988900,7.6992145300,7.7160067100
20240115103000000,7.6908184400,7.7411949800,7.6656301700,7.7327988900
20240115113000000,7.7327988900,7.7999676100,7.7160067100,7.7579871600
20240115140000000,7.7579871600,7.7579871600,7.7327988900,7.7495910700
20240115150000000,7.7495910700,7.7495910700,7.7244028000,7.7327988900
20240116103000000,7.7160067100,7.8167597900,7.6908184400,7.8083637000
20240116113000000,7.8083637000,7.8251558800,7.7579871600,7.7663832500
20240116140000000,7.7579871600,7.7663832500,7.7327988900,7.7495910700
20240116150000000,7.7495910700,7.8503441500,7.7411949800,7.8419480600
20240117103000000,7.8335519700,7.8755324200,7.7663832500,7.7915715200
20240117113000000,7.7915715200,7.8587402400,7.7831754300,7.8587402400
20240117140000000,7.8587402400,7.8755324200,7.8251558800,7.8503441500
20240117150000000,7.8503441500,7.8587402400,7.7495910700,7.7495910700
20240118103000000,7.7327988900,7.7327988900,7.6152536300,7.6488379900
20240118113000000,7.6488379900,7.6656301700,7.5564810000,7.6236497200
20240118140000000,7.6236497200,7.6404419000,7.5564810000,7.6068575400
20240118150000000,7.6068575400,7.7495910700,7.6068575400,7.7244028000
20240119103000000,7.6908184400,7.6992145300,7.6404419000,7.6740262600
20240119113000000,7.6740262600,7.7244028000,7.6488379900,7.6824223500
20240119140000000,7.6908184400,7.6992145300,7.6656301700,7.6656301700
20240119150000000,7.6656301700,7.7076106200,7.6572340800,7.6992145300
20240122103000000,7.6908184400,7.7579871600,7.6656301700,7.7244028000
20240122113000000,7.7244028000,7.7747793400,7.7160067100,7.7244028000
20240122140000000,7.7327988900,7.7327988900,7.6824223500,7.7076106200
20240122150000000,7.7076106200,7.7327988900,7.5900653600,7.6404419000
20240123103000000,7.5984614500,7.6740262600,7.5228966400,7.6404419000
20240123113000000,7.6404419000,7.6656301700,7.5900653600,7.6320458100
20240123140000000,7.6320458100,7.6572340800,7.6152536300,7.6488379900
20240123150000000,7.6488379900,7.7076106200,7.6488379900,7.6908184400
20240124103000000,7.7495910700,7.7579871600,7.6488379900,7.6572340800
20240124113000000,7.6572340800,7.6824223500,7.6320458100,7.6740262600
20240124140000000,7.6740262600,7.7411949800,7.6152536300,7.7160067100
20240124150000000,7.7160067100,7.8419480600,7.7076106200,7.8335519700
20240125103000000,7.8335519700,7.9259089600,7.7831754300,7.8923246000
20240125113000000,7.8923246000,7.9762855000,7.8755324200,7.9594933200
