date,open,high,low,close
2018-01-02,10.2096127500,10.6531764500,10.1866698000,10.4772805000
2018-01-03,10.5002234500,10.5996429000,10.0948980000,10.1943174500
2018-01-04,10.1866698000,10.2249080500,10.0413644500,10.1331362500
2018-01-05,10.1025456500,10.2096127500,10.0566597500,10.1713745000
2018-01-08,10.1331362500,10.1637268500,9.8348779000,9.9113544000
2018-01-09,9.9113544000,10.0948980000,9.8807638000,10.0031262000
2018-01-10,9.9725356000,10.3166798500,9.8807638000,10.3013845500
2018-01-11,10.2554986500,10.3931563500,10.1484315500,10.2478510000
2018-01-12,10.2860892500,10.4619852000,10.2554986500,10.3625657500
2018-01-15,10.3319751500,10.9590824500,10.3243275000,10.8596630000
2018-01-16,10.8367200500,10.9973207000,10.7220053000,10.8596630000
2018-01-17,10.9590824500,11.3185220000,10.8596630000,10.8826059500
2018-01-18,11.0126160000,11.2573408000,10.9208442000,11.2573408000
2018-01-19,11.3185220000,11.5708944500,11.2267502000,11.3185220000
2018-01-22,11.1655690000,11.4255891000,11.0355589500,11.0432066000
2018-01-23,10.9820254000,11.3949985000,10.9590824500,11.2038072500
2018-01-24,11.2114549000,11.5326562000,11.0890925000,11.1961596000
2018-01-25,11.0508542500,11.0661495500,10.7067100000,10.8596630000
2018-01-26,10.8443677000,10.9667301000,10.7220053000,10.7449482500
2018-01-29,10.7449482500,10.8979012500,10.4008040000,10.5078711000
2018-01-30,10.4772805000,10.5843476000,10.3625657500,10.4390422500
2018-01-31,10.4008040000,10.7449482500,10.3472704500,10.7449482500
2018-02-01,10.6684717500,10.9361395000,10.5843476000,10.7296529500
2018-02-02,10.6378811500,10.7831865000,10.4237469500,10.7449482500
2018-02-05,10.5537570000,11.1426260500,10.5002234500,11.1273307500
2018-02-06,10.8826059500,10.9590824500,10.6531764500,10.7067100000
2018-02-07,10.8749583000,10.9361395000,9.7584014000,9.8807638000
2018-02-08,9.8119349500,9.8807638000,9.5825054500,9.5901531000
2018-02-09,9.2383612000,9.2383612000,8.7030257000,8.9401028500
2018-02-12,9.0089317000,9.0548176000,8.8406834000,8.9630458000
2018-02-13,9.0777605500,9.3377806500,9.0548176000,9.1312941000
2018-02-14,9.1465894000,9.2001229500,8.9936364000,9.1771800000
2018-02-22,9.3683712500,9.5825054500,9.3683712500,9.5289719000
2018-02-23,9.6207437000,9.7813443500,9.5213242500,9.6436866500
2018-02-26,9.7660490500,9.8272302500,9.5213242500,9.6589819500
2018-02-27,9.6666296000,9.7125155000,9.3224853500,9.3913142000
2018-02-28,9.2536565000,9.3224853500,9.1236464500,9.2154182500
2018-03-01,9.1159988000,9.2918947500,9.1007035000,9.2077706000
2018-03-02,9.1159988000,9.2077706000,9.0624652500,9.1389417500
2018-03-05,9.1236464500,9.2383612000,9.0242270000,9.0701129000
2018-03-06,9.1389417500,9.2613041500,9.0012840500,9.2536565000
2018-03-07,9.2918947500,9.4372001000,9.2077706000,9.2154182500
2018-03-08,9.2154182500,9.2918947500,9.1389417500,9.2613041500
2018-03-09,9.2918947500,9.3301330000,9.1618847000,9.2460088500
2018-03-12,9.2918947500,9.3071900500,9.1389417500,9.2001229500
2018-03-13,9.2077706000,9.3454283000,9.1771800000,9.1924753000
2018-03-14,9.1618847000,9.1771800000,9.0471699500,9.1159988000
2018-03-15,9.0165793500,9.0624652500,8.9171599000,8.9553981500
2018-03-16,8.9630458000,9.0624652500,8.9018646000,8.9018646000
2018-03-19,8.9171599000,9.0548176000,8.8789216500,9.0471699500
2018-03-20,8.9783411000,9.0854082000,8.9630458000,9.0395223000
2018-03-21,9.1389417500,9.2689518000,9.0624652500,9.1007035000
2018-03-22,9.1007035000,9.1542370500,8.8865693000,8.9171599000
2018-03-23,8.6036062500,8.6800827500,8.3512338000,8.6724351000
2018-03-26,8.5271297500,8.5653680000,8.3053479000,8.3588814500
2018-03-27,8.4888915000,8.5424250500,8.3053479000,8.3665291000
2018-03-28,8.2977002500,8.5194821000,8.2518143500,8.3282908500
2018-03-29,8.3512338000,8.5424250500,8.0682707500,8.4506532500
2018-03-30,8.4430056000,8.4506532500,8.3206432000,8.3359385000
2018-04-02,8.3129955500,8.4047673500,8.1829855000,8.1906331500
2018-04-03,8.1065090000,8.1600425500,8.0376801500,8.0759184000
2018-04-04,8.1676902000,8.4200626500,8.1065090000,8.3129955500
2018-04-09,8.2594620000,8.4888915000,8.2059284500,8.4277103000
2018-04-10,8.4277103000,8.7642069000,8.3894720500,8.7336163000
2018-04-11,8.7106733500,9.1159988000,8.7030257000,9.0471699500
2018-04-12,9.0242270000,9.0471699500,8.7336163000,8.8100928000
2018-04-13,8.9018646000,9.0165793500,8.7565592500,8.8483310500
2018-04-16,8.7718545500,8.7718545500,8.4353579500,8.4888915000
2018-04-17,8.5041868000,8.7565592500,8.4965391500,8.5730156500
2018-04-18,8.7565592500,8.8789216500,8.6265492000,8.7947975000
2018-04-19,8.8100928000,8.9401028500,8.7336163000,8.7718545500
2018-04-20,8.8024451500,8.8559787000,8.5653680000,8.6800827500
2018-04-23,8.6418445000,8.8789216500,8.6112539000,8.8483310500
2018-04-24,8.8942169500,9.1312941000,8.8559787000,9.0701129000
2018-04-25,8.9936364000,9.0318746500,8.8942169500,8.9324552000
2018-04-26,8.9171599000,8.9401028500,8.6494921500,8.7336163000
2018-04-27,8.7871498500,8.8024451500,8.1294519500,8.2977002500
2018-05-02,8.3894720500,8.4353579500,8.2594620000,8.3206432000
2018-05-03,8.3053479000,8.3206432000,8.0835660500,8.2212237500
2018-05-04,8.2059284500,8.2824049500,8.1523949000,8.1676902000
2018-05-07,8.1829855000,8.2824049500,8.1370996000,8.2671096500
2018-05-08,8.2824049500,8.5271297500,8.2594620000,8.4200626500
2018-05-09,8.3971197000,8.4353579500,8.3206432000,8.3894720500
2018-05-10,8.4353579500,8.4812438500,8.3435861500,8.4200626500
2018-05-11,8.4430056000,8.5118344500,8.3818244000,8.4200626500
2018-05-14,8.4812438500,8.5883109500,8.4353579500,8.5500727000
2018-05-15,8.5500727000,8.5577203500,8.4277103000,8.5041868000
2018-05-16,8.4659485500,8.4659485500,8.3282908500,8.3359385000
2018-05-17,8.3435861500,8.3665291000,8.2441667000,8.2747573000
