time,open,high,low,close
2025-10-28 00:00:00,114107.65,114119.71,113956.08,113996.42
2025-10-28 00:05:00,113996.42,114098.37,113911.54,114098.37
2025-10-28 00:10:00,114098.37,114138.05,114033.93,114089.3
2025-10-28 00:15:00,114089.29,114189.9,114066.2,114159.73
2025-10-28 00:20:00,114159.73,114374.2,114140.02,114304.13
2025-10-28 00:25:00,114304.13,114304.13,114240.01,114240.02
2025-10-28 00:30:00,114240.01,114240.02,114025.92,114025.92
2025-10-28 00:35:00,114025.92,114086.0,114018.78,114086.0
2025-10-28 00:40:00,114085.99,114086.0,113926.29,113990.7
2025-10-28 00:45:00,113989.7,113989.94,113788.32,113901.83
2025-10-28 00:50:00,113901.83,113970.48,113851.21,113926.34
2025-10-28 00:55:00,113926.33,114001.57,113914.69,113961.67
2025-10-28 01:00:00,113961.67,114157.94,113961.67,114106.0
2025-10-28 01:05:00,114106.01,114189.09,114054.64,114153.99
2025-10-28 01:10:00,114153.98,114218.48,114151.13,114188.09
2025-10-28 01:15:00,114188.09,114298.48,114175.58,114245.08
2025-10-28 01:20:00,114245.08,114245.09,114197.23,114243.98
2025-10-28 01:25:00,114243.97,114269.22,114167.06,114214.16
2025-10-28 01:30:00,114214.17,114214.17,114104.9,114144.14
2025-10-28 01:35:00,114144.14,114315.38,114144.14,114256.73
2025-10-28 01:40:00,114256.74,114547.2,114256.73,114467.16
2025-10-28 01:45:00,114467.15,114519.99,114406.7,114500.75
2025-10-28 01:50:00,114500.74,114509.91,114403.52,114450.72
2025-10-28 01:55:00,114450.73,114459.81,114403.74,114424.76
2025-10-28 02:00:00,114424.76,114466.42,114403.38,114441.09
2025-10-28 02:05:00,114441.09,114474.1,114369.44,114369.45
2025-10-28 02:10:00,114369.45,114369.45,114119.42,114174.52
2025-10-28 02:15:00,114174.53,114176.75,114123.53,114166.69
2025-10-28 02:20:00,114166.69,114188.55,113908.0,113980.01
2025-10-28 02:25:00,113980.01,114109.84,113905.26,114109.84
2025-10-28 02:30:00,114109.84,114130.12,114006.0,114015.0
2025-10-28 02:35:00,114015.01,114128.61,113969.89,114128.6
2025-10-28 02:40:00,114128.61,114128.61,113918.69,113918.7
2025-10-28 02:45:00,113918.69,113980.56,113650.0,113661.95
2025-10-28 02:50:00,113661.96,113951.85,113569.91,113906.06
2025-10-28 02:55:00,113906.05,113999.7,113873.99,113936.94
2025-10-28 03:00:00,113936.93,114097.74,113880.0,114061.14
2025-10-28 03:05:00,114061.15,114109.86,113998.01,113998.02
2025-10-28 03:10:00,113998.02,114015.86,113717.0,113731.02
2025-10-28 03:15:00,113732.45,113878.25,113732.45,113823.01
2025-10-28 03:20:00,113823.01,113976.81,113820.52,113975.68
2025-10-28 03:25:00,113975.67,113998.78,113876.14,113958.29
2025-10-28 03:30:00,113958.3,113988.0,113841.31,113903.0
2025-10-28 03:35:00,113903.0,113943.38,113831.76,113899.07
2025-10-28 03:40:00,113899.08,113899.08,113771.75,113836.13
2025-10-28 03:45:00,113836.14,113917.89,113772.63,113823.88
2025-10-28 03:50:00,113823.88,113911.65,113780.65,113828.71
2025-10-28 03:55:00,113828.71,113958.65,113805.67,113908.24
2025-10-28 04:00:00,113908.25,113944.0,113833.72,113838.55
2025-10-28 04:05:00,113838.56,113938.9,113761.71,113845.99
2025-10-28 04:10:00,113845.99,113924.0,113834.77,113924.0
2025-10-28 04:15:00,113923.99,113934.94,113855.56,113857.21
2025-10-28 04:20:00,113857.21,113950.04,113834.24,113927.41
2025-10-28 04:25:00,113927.42,113961.67,113856.99,113857.0
2025-10-28 04:30:00,113857.0,113911.65,113804.98,113911.65
2025-10-28 04:35:00,113911.64,113966.01,113814.03,113908.86
2025-10-28 04:40:00,113908.87,113949.45,113875.77,113875.78
2025-10-28 04:45:00,113875.78,114076.91,113875.77,114053.26
2025-10-28 04:50:00,114053.26,114053.26,114000.0,114022.93
2025-10-28 04:55:00,114022.93,114022.93,113961.86,113964.59
2025-10-28 05:00:00,113964.6,113964.6,113906.65,113916.47
2025-10-28 05:05:00,113916.48,113916.48,113854.0,113867.59
2025-10-28 05:10:00,113867.59,113899.68,113824.03,113824.04
2025-10-28 05:15:00,113824.04,113898.89,113800.0,113831.74
2025-10-28 05:20:00,113831.74,113881.99,113831.74,113881.98
2025-10-28 05:25:00,113881.99,113981.73,113872.64,113958.53
2025-10-28 05:30:00,113958.53,113958.53,113836.96,113875.05
2025-10-28 05:35:00,113875.06,113911.65,113850.0,113870.0
2025-10-28 05:40:00,113870.0,113870.0,113708.63,113708.63
2025-10-28 05:45:00,113708.63,113789.45,113600.0,113720.01
2025-10-28 05:50:00,113720.0,113720.0,113569.91,113593.48
2025-10-28 05:55:00,113593.47,113713.84,113483.3,113605.31
2025-10-28 06:00:00,113605.32,113718.0,113605.32,113677.27
2025-10-28 06:05:00,113677.28,113780.62,113677.27,113780.61
2025-10-28 06:10:00,113780.61,113825.09,113761.48,113799.4
2025-10-28 06:15:00,113799.4,113813.68,113741.72,113800.0
2025-10-28 06:20:00,113800.01,113842.93,113783.18,113842.92
2025-10-28 06:25:00,113842.93,113900.0,113825.56,113840.02
2025-10-28 06:30:00,113840.01,113937.91,113789.99,113919.99
2025-10-28 06:35:00,113919.99,114016.14,113879.92,114016.14
2025-10-28 06:40:00,114016.13,114044.33,113997.15,114007.8
2025-10-28 06:45:00,114007.79,114063.39,113998.03,114061.73
2025-10-28 06:50:00,114061.74,114186.01,114061.73,114186.01
2025-10-28 06:55:00,114186.01,114186.01,114026.42,114115.52
2025-10-28 07:00:00,114115.52,114315.79,114091.51,114310.22
2025-10-28 07:05:00,114310.22,114310.23,114189.12,114239.99
2025-10-28 07:10:00,114240.0,114240.0,114102.42,114117.81
2025-10-28 07:15:00,114117.82,114229.84,114099.74,114188.96
2025-10-28 07:20:00,114188.97,114319.85,114188.97,114224.85
2025-10-28 07:25:00,114224.85,114297.49,114170.99,114267.02
2025-10-28 07:30:00,114267.01,114271.04,114126.4,114126.41
2025-10-28 07:35:00,114126.41,114167.51,114112.3,114161.19
2025-10-28 07:40:00,114161.19,114257.99,114146.42,114257.99
2025-10-28 07:45:00,114257.99,114364.99,114240.35,114298.01
2025-10-28 07:50:00,114298.01,114298.01,114177.38,114177.39
2025-10-28 07:55:00,114177.39,114216.45,114177.38,114188.37
2025-10-28 08:00:00,114188.38,114234.98,114182.9,114186.06
2025-10-28 08:05:00,114186.06,114236.45,114176.24,114222.7
2025-10-28 08:10:00,114222.71,114222.71,114113.3,114118.96
2025-10-28 08:15:00,114118.96,114213.44,114118.95,114213.44
2025-10-28 08:20:00,114213.43,114340.62,114213.43,114340.61
2025-10-28 08:25:00,114340.61,114436.25,114330.0,114371.73
2025-10-28 08:30:00,114371.74,114461.75,114348.56,114429.22
2025-10-28 08:35:00,114429.22,114448.39,114398.22,114428.39
2025-10-28 08:40:00,114428.39,114480.19,114410.0,114421.63
2025-10-28 08:45:00,114421.63,114478.81,114411.09,114458.38
2025-10-28 08:50:00,114458.37,114458.44,114421.37,114422.02
2025-10-28 08:55:00,114422.02,114438.67,114370.03,114427.23
2025-10-28 09:00:00,114427.23,114634.46,114427.23,114560.01
2025-10-28 09:05:00,114560.01,114560.01,114380.0,114380.01
2025-10-28 09:10:00,114380.01,114414.28,114325.0,114374.35
2025-10-28 09:15:00,114374.35,114409.63,114336.66,114409.62
2025-10-28 09:20:00,114409.62,114423.77,114329.58,114329.59
2025-10-28 09:25:00,114329.59,114329.59,114205.28,114234.92
2025-10-28 09:30:00,114234.91,114318.83,114234.91,114312.47
2025-10-28 09:35:00,114312.47,114350.0,114299.15,114349.99
2025-10-28 09:40:00,114350.0,114526.36,114350.0,114478.01
2025-10-28 09:45:00,114478.0,114507.22,114439.61,114439.61
2025-10-28 09:50:00,114439.62,114547.68,114439.61,114547.68
2025-10-28 09:55:00,114547.68,114558.12,114528.6,114528.6
2025-10-28 10:00:00,114528.61,114542.02,114466.12,114466.13
2025-10-28 10:05:00,114466.13,114473.33,114453.88,114473.32
2025-10-28 10:10:00,114473.33,114494.53,114444.78,114494.52
2025-10-28 10:15:00,114494.51,114518.51,114455.55,114491.58
2025-10-28 10:20:00,114491.58,114542.09,114479.5,114542.08
2025-10-28 10:25:00,114542.08,114545.5,114521.35,114545.49
2025-10-28 10:30:00,114545.5,114545.5,114478.17,114478.18
2025-10-28 10:35:00,114478.17,114499.03,114429.78,114454.19
2025-10-28 10:40:00,114454.2,114533.24,114435.28,114533.24
2025-10-28 10:45:00,114533.24,114574.08,114514.63,114556.7
2025-10-28 10:50:00,114556.69,114588.59,114552.56,114588.58
2025-10-28 10:55:00,114588.59,114608.78,114578.0,114595.71
2025-10-28 11:00:00,114595.7,114609.21,114505.54,114505.54
